,nu,E
365,460,124.5
228,525,148.3
287,503,146.6
336,482,148.2
176,470,124.0
161,400,114.6
159,398,109.0
92,514,174.6
102,518,154.0
222,383,109.7
343,412,117.9
22,320,64.5
153,473,137.9
99,438,134.1
88,359,71.9
17,569,157.4
329,423,115.9
212,460,140.7
172,372,81.7
326,383,107.4
303,409,116.7
109,444,130.0
52,463,136.7
252,482,150.1
120,394,112.1
235,434,118.6
154,518,151.3
219,522,143.8
232,511,149.5
33,437,124.3
311,352,87.7
359,406,112.4
156,448,125.9
273,493,129.7
75,468,128.9
227,345,95.9
236,523,152.6
358,498,144.3
3,482,139.9
96,487,146.0
308,331,84.6
63,416,120.5
367,358,98.3
54,463,144.9
111,462,138.8
333,413,110.8
309,506,153.5
95,465,140.9
10,411,112.9
229,451,124.3
181,466,130.3
276,433,130.0
306,492,137.5
30,503,148.5
340,451,128.6
368,415,107.1
374,459,145.4
307,442,123.4
362,424,117.1
135,397,108.6
204,414,113.5
134,437,129.2
152,512,169.9
243,525,165.9
389,546,177.0
145,422,122.9
257,495,150.9
123,452,131.0
314,465,140.7
38,391,107.5
262,426,128.2
16,482,136.4
137,428,131.6
127,510,140.6
244,478,126.6
150,421,115.1
279,510,153.9
29,351,102.9
397,493,149.7
394,411,115.2
131,422,108.6
31,402,120.8
366,438,126.7
354,485,138.6
263,496,155.3
325,453,126.4
275,377,96.1
254,540,156.7
299,502,137.2
24,408,110.0
288,417,124.3
80,474,132.5
117,480,153.9
291,483,130.3
377,472,135.6
282,477,146.0
274,378,103.8
200,576,170.1
124,452,116.1
13,543,155.4
352,538,165.0
294,523,172.8
46,434,108.7
140,458,128.0
